"Gear_name","Gear_code","Inshore.Gravel","Inshore.Rock","Inshore.Sand","Inshore.Silt","Offshore.Gravel","Offshore.Overhang","Offshore.Sand","Offshore.Silt","Offshore.Rock"
"Mollusc_dredge","MD",2.07352958066695e-06,0.99990954177065,8.83846997694539e-05,0,0,0,0,0,0
"Harpoons","Harp",0.0732150333554098,0.243499199160787,0.496247640184611,0.187038127299192,0,0,0,0,0
"Kelp_harvester","KH",0,1,0,0,0,0,0,0,0
"Longlines+Gillnets","LLGN",0.23555393662827,0.267377652921807,0.360717499305864,0.125262383906247,0.000111138144343426,0.00139581833058445,0.00352342677235014,0.00605814399053419,0
"Pelagic_Seiners_ALIEN","PSA",0,0,0,0,0,0,0,0,0
"Pelagic_Seiners_NORW","PSN",0.0267142566114179,0.388923870661633,0.340577375726171,0.0187830799012016,0,0.222552776992456,0,0.00244864010712033,0
"Pelagic_trawlers_ALIEN","PTN",0.0154970969596975,0.0153066988924038,0.0156219481513655,0.0155907353534485,0.0142567862056699,0.895022763958781,0.014328575640879,0.0143753948377545,0
"Pelagic_trawlers_NORW","PTA",0.127789355569232,0.182406018541612,0.375514151752272,0.144374236802862,0,0.169916237334022,0,0,0
"Creels","CR",0.0843519001929505,0.632029959030486,0.193153752544071,0.090464388232493,0,0,0,0,0
"Recreational","Rec",0.0732150333554098,0.243499199160787,0.496247640184611,0.187038127299192,0,0,0,0,0
"Shelf_Trawlers","ST",0.286064738031237,0.231763936452803,0.360502428836702,0.0522307577572349,0.0214484986405275,0,0.0220759085586968,0.0259137317227992,0
"Blank1","B1",0,0,0,0,0,0,0,0,0
