Gear_name,Gear_code,Activity_(s/m2/d),Plough_rate_(m2/s)
Mollusc_dredge,MD,0.00E+00,22.4
Harpoons,Harp,0.00E+00,0
Kelp_harvester,KH,0.00E+00,0
Longlines+Gillnets,LLGN,0.00E+00,0
Pelagic_trawl+seine,PTS,0.00E+00,0
Creels,CR,0.00E+00,0
Recreational,Rec,0.00E+00,0
Shelf_Trawlers,ST,0.00E+00,17.1
NA,NA,0.00E+00,0
NA,NA,0.00E+00,0
NA,NA,0.00E+00,22.4
NA,NA,0.00E+00,13.5
